rank,country,squad_strength,squad_size,best_player,best_rating
1,France,85.0,23,K. Benzema,91
2,Germany,84.74,23,M. Neuer,89
3,Brazil,84.48,23,Neymar Jr,89
4,Spain,84.43,23,De Gea,87
5,England,83.83,23,H. Kane,89
6,Italy,83.35,23,G. Donnarumma,88
7,Portugal,83.3,23,Cristiano Ronaldo,88
8,Argentina,82.7,23,L. Messi,91
9,Netherlands,81.74,23,V. van Dijk,89
10,Belgium,81.35,23,K. De Bruyne,91
11,Croatia,79.7,23,L. Modrić,88
12,Uruguay,79.22,23,F. Valverde,85
13,Serbia,78.26,23,S. Milinković-Savić,86
14,Switzerland,78.13,23,Y. Sommer,86
15,Denmark,78.13,23,P. Højbjerg,84
16,Colombia,77.91,23,L. Díaz,84
17,Austria,77.78,23,D. Alaba,86
18,Mexico,77.65,23,C. Vela,81
19,Morocco,77.39,23,Y. Bounou,85
20,Poland,77.39,23,R. Lewandowski,91
21,Côte d'Ivoire,77.35,23,F. Kessié,84
22,Senegal,77.04,23,S. Mané,89
23,Czech Republic,76.87,23,P. Schick,84
24,Nigeria,76.78,23,W. Ndidi,83
25,Turkey,76.74,23,H. Çalhanoğlu,84
26,Sweden,75.78,23,Z. Ibrahimović,82
27,Scotland,75.78,23,A. Robertson,87
28,United States,75.7,23,C. Pulisic,82
29,Norway,75.65,23,E. Haaland,89
30,Algeria,75.57,23,R. Mahrez,85
31,Ghana,75.48,23,T. Partey,84
32,Japan,75.39,23,D. Kamada,83
33,Ukraine,75.3,23,R. Malinovskyi,81
34,Cameroon,75.17,23,J. Matip,84
35,Greece,74.17,23,O. Vlachodimos,81
36,Slovakia,74.17,23,M. Škriniar,86
37,Chile,74.04,23,C. Bravo,79
38,Mali,73.91,23,H. Traoré,80
39,Korea Republic,73.83,23,H. Son,88
40,Bosnia and Herzegovina,73.78,23,E. Džeko,84
41,Paraguay,73.74,23,M. Almirón,80
42,Ecuador,73.48,23,P. Estupiñán,79
43,Hungary,73.17,23,P. Gulácsi,85
44,Wales,73.13,23,B. Davies,78
45,Slovenia,73.09,23,J. Oblak,89
46,Peru,72.87,23,R. Tapia,79
47,Romania,72.65,23,N. Stanciu,79
48,Canada,72.52,23,A. Davies,84
49,Republic of Ireland,72.35,23,M. Doherty,77
50,Congo DR,72.3,23,C. Mbemba,80
51,Albania,72.13,23,B. Djimsiti,79
52,Australia,71.61,23,M. Ryan,78
53,Kosovo,71.39,23,A. Rrahmani,80
54,Venezuela,71.0,23,J. Martínez,78
55,Guinea,70.7,23,N. Keïta,80
56,South Africa,70.65,23,T. Zwane,75
57,Jamaica,70.61,23,L. Bailey,80
58,Saudi Arabia,70.35,23,S. Al Dawsari,78
59,Finland,70.13,23,L. Hrádecký,81
60,Tunisia,69.61,23,E. Skhiri,79
61,Iceland,69.35,23,S. Ingason,75
62,Northern Ireland,69.3,23,J. Evans,79
63,Cape Verde Islands,69.17,23,Zé Luís,75
64,Georgia,69.04,23,K. Kvaratskhelia,79
65,China PR,69.0,23,Yan Junling,73
66,North Macedonia,68.78,23,S. Dimitrievski,79
67,Montenegro,68.26,23,S. Savić,84
68,Gambia,68.22,23,M. Barrow,77
69,Qatar,67.96,23,A. Afif,76
70,Bolivia,67.39,23,M. Moreno Martins,71
71,New Zealand,66.61,23,C. Wood,75
72,India,60.78,23,S. Chhetri,64
